T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49
558,559,122,301,633,237,701,250,324,236,390,373,443,85,675,968,293,342,429,96,362,814,201,869,506,820,305,223,788,915,436,854,281,759,294,876,241,23,895,873,947,510,365,503,650,689,62,82,90,830
855,567,355,367,681,897,242,839,999,840,434,134,178,45,12,825,88,828,203,433,588,977,875,202,777,150,248,494,151,429,71,605,430,614,95,563,538,317,773,761,595,81,530,580,454,612,377,431,332,685
918,929,111,581,656,108,952,232,390,923,880,842,811,137,80,13,75,468,826,138,428,72,689,611,12,621,800,293,314,614,846,939,909,944,794,324,328,521,310,91,11,14,828,597,230,263,259,962,56,732
729,11,102,267,318,610,725,741,131,814,511,14,329,667,447,230,444,63,46,799,363,750,380,172,200,325,496,481,808,258,212,637,970,529,962,54,811,694,519,747,207,249,995,812,777,533,731,426,246,916
925,731,798,803,32,17,271,789,396,377,89,206,325,954,920,715,151,318,362,530,181,563,294,5,34,244,704,282,415,497,961,339,1,357,33,962,24,153,815,834,587,774,884,812,405,706,532,46,120,313
171,364,434,433,26,32,513,900,458,457,160,329,116,165,664,737,203,66,430,141,542,404,313,63,251,482,914,332,488,132,841,492,632,683,880,52,440,246,77,180,177,42,922,802,126,906,903,617,819,828
413,367,324,571,326,594,463,870,402,554,984,825,674,85,446,980,464,781,83,591,360,362,106,445,448,398,246,167,863,769,933,484,949,225,895,615,500,180,128,757,435,783,821,582,265,47,52,124,553,556
157,472,180,78,131,327,200,748,526,178,156,10,800,331,224,908,104,32,785,108,646,545,92,256,473,192,779,583,649,509,380,704,155,313,981,175,128,438,396,823,146,209,734,99,271,42,222,567,87,957
544,202,615,610,946,596,777,132,855,622,849,348,839,999,825,189,894,733,671,169,307,773,32,914,991,889,382,845,679,545,686,902,74,891,149,547,546,658,320,322,68,340,321,721,711,782,802,612,927,332
95,886,328,93,850,507,820,994,939,691,247,340,786,578,41,141,875,943,710,797,213,839,74,525,639,502,126,605,981,215,618,752,189,157,503,487,24,40,891,512,119,214,551,190,694,52,160,822,717,112
441,155,408,630,460,375,736,399,404,707,319,520,35,684,443,519,886,706,427,328,683,394,533,730,515,665,69,928,462,771,429,336,341,809,189,847,950,361,792,379,332,540,722,292,234,609,364,650,507,63
194,759,164,435,30,943,655,354,279,209,387,411,216,902,480,420,21,879,496,328,444,171,70,650,999,198,818,318,947,527,312,793,738,177,189,499,508,791,169,551,812,693,707,428,756,834,419,475,55,378
291,127,279,471,564,685,32,343,378,870,705,692,234,204,701,195,865,919,428,583,57,571,236,909,913,386,307,496,649,297,63,846,431,459,66,881,828,227,42,996,641,682,413,908,143,324,955,214,250,981
858,232,347,721,687,173,415,728,422,419,883,541,410,720,525,221,709,765,866,886,629,704,310,11,90,441,127,222,748,732,639,174,672,14,908,918,717,480,466,569,294,482,56,155,202,52,806,418,675,17
271,886,544,100,970,20,490,182,992,856,828,571,260,497,674,86,576,358,145,415,873,592,958,907,126,406,456,444,938,493,29,454,297,156,290,548,771,307,527,162,255,615,625,236,979,630,543,336,820,689
253,722,644,414,912,367,326,155,832,673,720,59,106,798,826,220,250,597,13,431,237,612,255,942,790,369,882,163,707,449,383,1,184,868,312,251,248,76,949,797,197,498,8,137,66,201,988,535,219,500
111,594,74,705,154,993,279,358,11,656,625,281,345,630,992,133,980,459,949,535,607,524,80,579,465,436,463,50,371,212,91,683,322,986,751,580,145,752,802,227,882,584,716,800,753,754,399,869,742,677
827,231,180,67,644,327,293,32,391,618,956,392,599,498,578,152,570,137,135,288,702,565,787,943,580,981,41,982,480,990,227,388,560,140,772,377,882,356,587,445,490,387,274,216,9,652,946,873,114,716
536,47,208,902,586,391,121,915,193,848,877,119,770,318,90,107,48,287,156,805,458,970,535,194,472,304,901,644,380,149,499,765,874,801,630,730,460,724,102,295,21,764,505,232,518,426,821,605,94,981
37,737,641,442,256,99,482,270,331,537,856,706,430,425,740,990,258,487,612,788,332,634,398,385,907,728,680,38,60,755,701,150,494,257,658,22,752,291,202,874,421,970,399,244,66,131,416,395,820,525
656,393,599,742,348,38,195,720,482,291,890,356,733,319,749,803,700,365,105,367,28,414,996,832,294,771,449,408,729,542,797,303,337,689,627,441,548,899,835,966,176,31,590,712,985,568,823,677,338,960
831,293,766,439,939,425,907,596,107,344,828,70,86,739,327,424,20,659,735,701,836,351,328,686,32,894,520,850,29,433,991,397,607,178,398,166,62,445,163,873,702,818,971,76,759,198,389,401,142,933
229,147,845,842,535,181,190,279,294,612,670,0,300,193,540,303,184,443,74,465,208,378,973,884,340,467,38,23,705,137,808,39,889,28,118,824,471,113,908,215,991,19,351,930,673,719,360,633,507,690
178,984,526,477,537,717,395,206,823,931,51,955,450,60,99,331,339,591,380,49,121,298,297,223,444,156,483,209,878,10,592,345,705,802,260,928,423,34,631,313,671,794,136,524,165,492,479,782,358,656
826,70,124,92,737,917,295,319,812,40,332,366,948,41,208,406,880,657,595,774,316,28,511,560,486,658,618,890,640,278,87,299,726,727,273,439,965,642,744,391,464,262,926,845,78,108,394,466,98,849
396,462,428,964,947,486,127,755,678,605,676,229,502,706,643,230,547,707,496,351,752,544,821,548,375,123,6,54,685,627,432,610,74,826,804,492,942,674,907,640,137,355,336,573,689,539,662,150,258,373
