T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49
671,841,578,291,986,502,366,742,987,43,166,585,714,335,355,248,564,672,358,160,609,739,625,633,717,35,568,814,991,551,930,168,218,594,386,766,390,992,768,227,222,610,831,604,620,542,409,375,214,28
270,309,203,807,879,449,515,311,511,959,528,136,323,527,842,404,313,814,21,737,984,777,428,749,526,198,220,547,970,860,402,141,347,826,496,580,631,39,910,935,18,998,90,611,148,57,605,591,482,797
778,923,92,208,784,723,483,414,964,188,46,907,40,636,45,920,801,805,581,783,136,500,592,596,603,236,591,725,947,770,639,951,903,472,462,60,243,293,992,1,440,400,630,485,5,736,98,628,776,651
468,256,235,938,878,240,528,583,895,125,85,867,808,964,842,935,252,717,860,434,106,919,972,924,61,58,285,99,559,832,736,391,158,614,40,161,506,41,8,136,292,7,633,76,596,999,742,494,399,892
151,181,700,180,916,809,465,249,152,717,194,61,695,497,235,149,307,458,451,47,835,209,342,554,567,573,830,832,685,600,694,349,78,329,661,792,202,150,92,379,16,848,17,712,466,813,672,397,662,360
87,823,855,441,138,517,709,481,478,479,24,934,198,11,785,414,68,846,285,79,499,232,764,390,252,381,850,243,568,101,564,596,598,418,952,382,335,182,78,352,919,953,639,55,234,658,631,420,526,992
466,349,545,142,4,745,149,317,174,885,338,572,954,538,328,471,284,329,0,64,843,959,539,53,315,251,240,355,22,178,494,526,403,692,574,303,25,26,556,618,363,206,362,544,294,976,156,695,491,369
417,888,965,189,637,228,283,804,712,753,791,499,244,948,654,205,450,393,104,566,20,913,430,962,579,929,668,768,59,474,683,381,956,835,785,441,3,630,476,897,571,22,202,603,363,812,581,130,298,352
843,278,799,78,832,760,201,933,427,207,345,192,294,393,803,173,894,339,500,637,915,651,536,736,965,826,494,517,655,417,414,853,460,441,436,527,320,998,101,7,347,237,22,248,793,839,723,542,570,303
590,589,933,629,795,76,571,268,753,144,996,368,107,527,103,528,51,543,553,11,511,552,638,711,221,309,402,620,197,64,174,194,261,967,995,569,820,158,486,741,474,779,925,31,977,166,899,588,242,731
820,543,806,859,179,100,967,121,624,584,760,11,135,568,524,793,833,132,111,157,847,729,36,378,807,804,44,261,979,194,366,485,155,345,918,382,373,513,170,959,531,199,89,101,411,119,391,29,599,269
810,633,378,472,812,818,550,80,104,724,107,329,893,631,159,81,770,86,238,637,303,399,746,82,595,241,868,848,363,953,240,312,728,519,456,151,430,156,347,319,640,517,980,776,545,553,777,773,85,205
163,825,69,611,223,389,523,366,732,267,725,278,294,729,573,104,4,357,270,624,394,946,430,286,298,813,229,288,370,647,724,65,564,480,375,659,290,543,514,377,588,534,851,601,295,179,291,847,95,985
826,903,510,599,345,730,69,878,973,225,672,577,575,823,588,874,503,671,35,230,856,553,207,959,705,988,22,656,291,994,555,258,323,32,737,193,476,293,861,438,587,524,447,265,915,304,302,313,513,262
333,150,805,740,510,660,501,268,437,176,677,953,778,199,836,735,66,484,743,416,786,711,764,959,98,863,163,356,608,837,984,526,636,969,584,109,235,181,87,444,907,663,398,423,621,581,686,143,662,506
314,274,379,393,956,419,342,372,415,385,527,523,598,757,446,174,180,240,143,639,462,84,427,543,761,158,164,1,524,916,302,535,966,630,35,32,363,708,657,659,958,662,572,717,961,844,926,650,980,195
338,168,359,596,446,653,859,489,354,524,167,630,770,565,625,20,8,43,292,150,953,461,664,998,432,578,937,978,394,372,402,717,749,906,771,956,104,269,475,635,996,881,525,490,252,145,679,256,532,227
