net_size,activation,train_size,steps_ahead,noise,leakage,edges,triangles,squares,MDL,k_opt,N_MDL,E_MDL,T_MDL,S_MDL,a-9.0,a-8.0,a-7.0,a-6.0,a-5.0,a-4.0,a-3.0,a-2.0,a-1.0,a0.0,N_a-9.0,E_a-9.0,T_a-9.0,S_a-9.0,N_a-8.0,E_a-8.0,T_a-8.0,S_a-8.0,N_a-7.0,E_a-7.0,T_a-7.0,S_a-7.0,N_a-6.0,E_a-6.0,T_a-6.0,S_a-6.0,N_a-5.0,E_a-5.0,T_a-5.0,S_a-5.0,N_a-4.0,E_a-4.0,T_a-4.0,S_a-4.0,N_a-3.0,E_a-3.0,T_a-3.0,S_a-3.0,N_a-2.0,E_a-2.0,T_a-2.0,S_a-2.0,N_a-1.0,E_a-1.0,T_a-1.0,S_a-1.0,N_a0.0,E_a0.0,T_a0.0,S_a0.0,a0,N_a0,E_a0,T_a0,S_a0
1000,linear,10000,1,na,1,False,False,False,1.1746606909152069e-05,5,1.0,0.0,0.0,0.0,6.870883524477592e-06,7.898172735904605e-06,1.3674819548378771e-05,2.287988731694608e-05,2.668250486438317e-05,6.035855891438443e-05,0.0001039463422199,0.0001188365208519,0.0003308037233734,0.0008835872813024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.490463696527751,1.0,0.0,0.0,0.0
1000,linear,10000,1,na,1,True,False,False,0.0001396209507444,8,1.0,0.0,0.0,0.0,6.391113984805054e-06,7.409880121481551e-06,1.275699874323932e-05,2.1676781069857545e-05,2.5242158454320143e-05,5.711038747739796e-05,9.992560762680932e-05,0.0001142267530756,0.000314249291868,0.0008517615408137,0.9952066539493718,0.0047933460506281,0.0,0.0,0.9948321310790676,0.0051678689209322,0.0,0.0,0.9986488142199432,0.0013511857800567,0.0,0.0,0.9951796887402892,0.0048203112597108,0.0,0.0,0.9939195082385042,0.0060804917614957,0.0,0.0,0.9978365290594382,0.0021634709405618,0.0,0.0,0.998205420611962,0.001794579388038,0.0,0.0,0.9978959931473744,0.0021040068526254,0.0,0.0,0.9983805211743404,0.0016194788256597,0.0,0.0,0.998970750813369,0.001029249186631,0.0,0.0,13292494.154070737,1.0,6.746708758034999e-22,0.0,0.0
1000,linear,10000,1,na,1,True,True,False,1.2712454804091491e-06,20,0.8947368421052632,0.1052631578947368,0.0,0.0,4.4285538997368704e-08,8.824240279733058e-08,1.331156706604186e-07,1.8381938049893921e-07,1.3628594909813274e-06,6.401973122102456e-06,9.339416485168617e-06,1.997864770075624e-05,7.782098682709699e-05,0.0001479631852432,0.4563944227352982,0.0094311183799781,0.5341744588847238,0.0,0.3076991317443975,0.0090011936988394,0.683299674556763,0.0,0.7441334461847097,0.0050190826005055,0.2508474712147849,0.0,0.8337750393177943,0.0002937669534793,0.1659311937287264,0.0,0.7936217330106407,0.0011375459176466,0.2052407210717128,0.0,0.7429461384525896,0.0068529023340609,0.2502009592133494,0.0,0.8818356053308027,0.0010233883154164,0.1171410063537808,0.0,0.919989874088776,0.0004734771978,0.0795366487134239,0.0,0.7541648475466698,0.0058737588709114,0.2399613935824187,0.0,0.829711373105466,0.0059001364749288,0.1643884904196051,0.0,993714676.2452945,0.999999983838545,1.616145502928623e-08,5.457540184579512e-24,0.0
1000,linear,10000,1,na,1,True,True,True,3.423614740644033e-05,10,1.0,0.0,0.0,0.0,7.307140690949978e-08,1.282486394764815e-07,1.8126197687076826e-07,2.606330557564143e-07,1.77986106665204e-06,7.164397089757525e-06,1.0111095985325352e-05,2.267497392137338e-05,8.636759606522141e-05,0.0001566975349675,0.2602598888225763,0.0177910092859508,0.3609745509457364,0.3609745509457364,0.208513361852392,0.0088096869440451,0.3913384756017814,0.3913384756017814,0.5995940330358063,0.0018982924188465,0.1992538372726735,0.1992538372726735,0.7087649384308172,0.0016017465270255,0.1448166575210786,0.1448166575210786,0.6838745319915677,0.0151037008271915,0.1505108835906203,0.1505108835906203,0.6055904308294302,0.0272646546164829,0.1835724572770434,0.1835724572770434,0.7819949154570612,0.0042390787050318,0.1068830029189535,0.1068830029189535,0.8439600604820278,0.0109887813497467,0.0725255790841127,0.0725255790841127,0.5992312319115296,0.0125391206355901,0.1941148237264401,0.1941148237264401,0.7063893110948825,0.0061428031559058,0.1437339428746059,0.1437339428746059,4593271788.794037,0.9999991685662336,8.31428830049676e-07,2.4681057086067493e-12,2.4681057086067493e-12
1000,linear,10000,2,na,1,False,False,False,0.0002017218019106,6,1.0,0.0,0.0,0.0,0.0001701127579622,0.0001946854102646,0.0002745684171233,0.0004378400215206,0.0004926213399851,0.0008291620481606,0.0013965669912068,0.0015551760058485,0.0028210617325957,0.0070452595299139,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,81.83973176373797,1.0,0.0,0.0,0.0
1000,linear,10000,2,na,1,True,False,False,0.0002554927256089,6,1.0,0.0,0.0,0.0,0.0001498668828526,0.0001692669609257,0.0002531557611187,0.000391034577753,0.0004436115997335,0.0008068618248015,0.0012954360669377,0.0014487679557491,0.0029307006512037,0.0067777466293266,0.984751716102406,0.0152482838975941,0.0,0.0,0.9967747293197452,0.0032252706802547,0.0,0.0,0.9878944726977982,0.0121055273022018,0.0,0.0,0.9828913261286316,0.0171086738713682,0.0,0.0,0.9983783042051984,0.0016216957948015,0.0,0.0,0.987773719725744,0.0122262802742557,0.0,0.0,0.9850439415817596,0.0149560584182403,0.0,0.0,0.9987555758362804,0.0012444241637197,0.0,0.0,0.9905470024768608,0.009452997523139,0.0,0.0,0.976568715842616,0.0234312841573841,0.0,0.0,3673787557.9850407,1.0,2.164375897475583e-18,0.0,0.0
1000,linear,10000,2,na,1,True,True,False,5.135201862786385e-05,15,1.0,0.0,0.0,0.0,1.0078841676416357e-06,1.7348017117687411e-06,2.431174097283741e-06,3.353509310828152e-06,2.135406237608933e-05,7.859385704568732e-05,0.0001052102738361,0.0002194422237129,0.0007235448454114,0.0011910070043099,0.4060763472706751,0.0006078747083367,0.5933157780209882,0.0,0.2801702199629612,0.0012555711093307,0.7185742089277078,0.0,0.7760932143060806,0.0004828089464537,0.2234239767474656,0.0,0.85898954148183,2.993421867880032e-05,0.1409805242994911,0.0,0.8327128510308176,0.000223183137174,0.1670639658320083,0.0,0.7428781302594968,0.000627525484452,0.2564943442560513,0.0,0.799311769244568,0.0001522324681719,0.2005359982872599,0.0,0.8425368018681553,0.0003816545790322,0.1570815435528124,0.0,0.6872882905106862,0.0017622661804603,0.3109494433088535,0.0,0.758986432804391,0.0009786536784463,0.2400349135171625,0.0,52312814348.49753,0.9999997373229398,2.626770602791749e-07,1.5080368170157416e-22,0.0
1000,linear,10000,2,na,1,True,True,True,2.1429028943807425e-05,23,0.9130434782608696,0.0,0.0434782608695652,0.0434782608695652,8.682978552781638e-07,1.5567487503966768e-06,2.3053578063276963e-06,3.103265799548633e-06,1.950755846058124e-05,7.9173109586058e-05,0.0001135964644066,0.0002356308246819,0.0007070799811103,0.0011601783216816,0.2916375742115165,0.0047173926340916,0.3518225165771959,0.3518225165771959,0.1884142420743847,0.0057210443940995,0.4029323567657578,0.4029323567657578,0.5523770471631193,0.0005369123022011,0.2235430202673398,0.2235430202673398,0.7209977680688077,0.0002725092339824,0.139364861348605,0.139364861348605,0.671078104288857,0.0015030079792453,0.1637094438659488,0.1637094438659488,0.5360901974127809,0.0033634922204307,0.2302731551833942,0.2302731551833942,0.6769465729961308,0.0050654992972891,0.1589939638532899,0.1589939638532899,0.741276232779647,0.0096706430189153,0.1245265621007188,0.1245265621007188,0.5049955628491329,0.0121986429390441,0.2414028971059115,0.2414028971059115,0.5726214788396535,0.0034546304047601,0.2119619453777932,0.2119619453777932,4247253.960201724,0.9999969021527542,3.0978139833030817e-06,1.663133600947181e-11,1.663133600947181e-11
1000,linear,10000,3,na,1,False,False,False,0.0015527662912164,6,1.0,0.0,0.0,0.0,0.0013349619236824,0.0014858657707625,0.0019482898170277,0.0028015026779131,0.003079975202859,0.0046093668387144,0.0069457059928071,0.0075708654895874,0.0119017615767611,0.0249568398906917,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,683.7994751368741,1.0,0.0,0.0,0.0
1000,linear,10000,3,na,1,True,False,False,0.0107248475604889,7,1.0,0.0,0.0,0.0,0.0014067697694521,0.0015590470751218,0.0020632049009678,0.0029444130163637,0.0032371076905778,0.0048793203839798,0.0072606238790957,0.0078931220303724,0.0124306886248019,0.025713772332396,0.9693131232812487,0.0306868767187512,0.0,0.0,0.9944382755905748,0.0055617244094251,0.0,0.0,0.9795226898275308,0.0204773101724693,0.0,0.0,0.9679995243043756,0.0320004756956243,0.0,0.0,0.9960627921434368,0.0039372078565631,0.0,0.0,0.980273494074743,0.0197265059252571,0.0,0.0,0.9725744441165748,0.0274255558834251,0.0,0.0,0.9978704685291148,0.002129531470885,0.0,0.0,0.9885337391535975,0.0114662608464024,0.0,0.0,0.9579433758023695,0.0420566241976303,0.0,0.0,4969987237.186831,1.0,1.0853784611449985e-18,0.0,0.0
