net_size,activation,train_size,steps_ahead,noise,leakage,edges,triangles,squares,MDL,k_opt,N_MDL,E_MDL,T_MDL,S_MDL,a-9.0,a-8.0,a-7.0,a-6.0,a-5.0,a-4.0,a-3.0,a-2.0,a-1.0,a0.0,N_a-9.0,E_a-9.0,T_a-9.0,S_a-9.0,N_a-8.0,E_a-8.0,T_a-8.0,S_a-8.0,N_a-7.0,E_a-7.0,T_a-7.0,S_a-7.0,N_a-6.0,E_a-6.0,T_a-6.0,S_a-6.0,N_a-5.0,E_a-5.0,T_a-5.0,S_a-5.0,N_a-4.0,E_a-4.0,T_a-4.0,S_a-4.0,N_a-3.0,E_a-3.0,T_a-3.0,S_a-3.0,N_a-2.0,E_a-2.0,T_a-2.0,S_a-2.0,N_a-1.0,E_a-1.0,T_a-1.0,S_a-1.0,N_a0.0,E_a0.0,T_a0.0,S_a0.0,a0,N_a0,E_a0,T_a0,S_a0
200,tanh,5000,1,na,1,False,False,False,1.43127891332463e-08,64,1.0,0.0,0.0,0.0,1.663569062958579e-07,5.350938662585783e-07,5.60998886252967e-07,6.006642820448953e-07,3.97616110915634e-06,1.3418296978163137e-05,3.8099750337657474e-05,8.098152946122888e-05,0.0002669548042266,0.0015298740172092,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.2342475224487,1.0,0.0,0.0,0.0
200,tanh,5000,1,na,1,True,True,True,2.0412830146002587e-08,74,0.8513513513513513,0.027027027027027,0.0405405405405405,0.081081081081081,1.718993971614014e-05,1.2835120834124466e-06,4.755522503891291e-08,2.942225728848423e-06,5.657063268094197e-07,3.792172468705728e-05,3.869051105944174e-05,3.786057869873435e-05,0.0001394735466616,0.000858099467749,0.0491435042590817,0.0337080396329316,0.1801078203688367,0.7370406357391499,0.0593327580470255,0.0398457005846182,0.2250025642064563,0.6758189771618999,0.0686002282996806,0.0439575528627505,0.2785521814637279,0.608890037373841,0.0824679276792385,0.040322945601674,0.2666335277829227,0.6105755989361648,0.0811823493961343,0.0511160612280259,0.2322430853776643,0.6354585039981753,0.1060958725183525,0.0747536218458642,0.2149199247047299,0.6042305809310533,0.1560352417249423,0.1103096535915468,0.2294729948864149,0.5041821097970959,0.1744213136460518,0.1282254235264154,0.2688973656675067,0.4284558971600259,0.1779048521219018,0.1544838582560979,0.2765421247237159,0.3910691648982843,0.1826103259230097,0.1649293587940456,0.2491592252462023,0.4033010900367423,695.5480432693586,0.8741477896682364,0.0758814171829687,0.0292899656006829,0.0206808275481119
200,tanh,5000,3,na,1,False,False,False,1.4277849443919208e-06,78,1.0,0.0,0.0,0.0,3.393292684365046e-05,8.288494781103376e-05,0.0001220265242558,0.0001618296285681,0.0004256387580181,0.0010311133431663,0.0020632896725582,0.0033884468832218,0.0075500633413379,0.0214463512860912,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,137.10203947168165,1.0,0.0,0.0,0.0
200,tanh,5000,3,na,1,True,True,True,1.5522149578617932e-06,92,0.7282608695652174,0.0543478260869565,0.0434782608695652,0.1739130434782608,0.0012193714563128,0.0001650907932607,0.0003251608043921,2.368304015558088e-05,0.0001488106531341,0.0012312990965579,0.0018326283557129,0.0012143916568426,0.0028096114294199,0.0106385531484362,0.041115277163845,0.0309452057577756,0.1373213312649056,0.7906181858134737,0.0427007114128894,0.0334644866852042,0.1497291312552666,0.7741056706466396,0.0604888740267431,0.043446547044097,0.201116904139117,0.6949476747900428,0.0653933743261096,0.0394606164421795,0.2324258617634133,0.6627201474682974,0.0484579408439687,0.0310924993457142,0.2363679832017411,0.6840815766085758,0.0779792116598658,0.0418479413711382,0.2025576583246872,0.6776151886443088,0.1182429060327621,0.0630148039534608,0.194736063834408,0.6240062261793691,0.1374030112997022,0.0670963512979568,0.2530627001646376,0.5424379372377033,0.1403269477989602,0.0900822081850917,0.3066598348874866,0.4629310091284613,0.1522335811056926,0.1107299827254187,0.2913438180867237,0.445692618082165,442.9401579612125,0.8682157997261127,0.0951296927203314,0.0214967280815789,0.0151577794719769
200,tanh,5000,5,na,1,False,False,False,1.977191392940893e-05,101,1.0,0.0,0.0,0.0,0.0006882741718376,0.0018806853248112,0.0026322726701468,0.0021833605411634,0.0049937411562065,0.0104730207848232,0.015118047771266,0.0207587418946269,0.0397232291234117,0.089036369294407,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,220.23503243445347,1.0,0.0,0.0,0.0
200,tanh,5000,5,na,1,True,True,True,2.174420209718837e-05,102,0.5882352941176471,0.0098039215686274,0.0,0.4019607843137255,0.035773454798764,0.0296585769286025,0.0133673328698494,0.0027406836029427,0.0011289984001803,0.0072590957714847,0.0246430531840427,0.0086106407712989,0.0161759725588438,0.0390519803676889,0.0513097539192122,0.0296139213033917,0.1334865804077591,0.7855897443696368,0.0579874236469055,0.0411547407631776,0.1597802929499914,0.7410775426399254,0.0621772348887425,0.0555028599995721,0.2064675402715524,0.675852364840133,0.0741290553253245,0.0452594204532319,0.2413242241000574,0.6392873001213862,0.0514567635121684,0.0263237059152918,0.2304738968706444,0.6917456337018952,0.060420159013886,0.0334268073574595,0.2139398146508594,0.692213218977795,0.1109595009429936,0.0519838188200595,0.1928570005250783,0.6441996797118685,0.1414422590570699,0.0553361052485734,0.2315337230771762,0.5716879126171803,0.1314363441523419,0.0701894598287393,0.2922259974021499,0.5061481986167689,0.1332801465466808,0.0829801034011284,0.3001191481082831,0.4836206019439076,501.19228521257753,0.8725993518213578,0.0793651755699984,0.030577951644476,0.0174575209641675
200,tanh,5000,7,na,1,False,False,False,0.0001277898744624,112,1.0,0.0,0.0,0.0,0.0078793747723828,0.0098752322068255,0.011207947580964,0.0123178044084713,0.0219014219693924,0.0398670636127828,0.0589525453664873,0.0740960442058435,0.1152660010873003,0.213890996951334,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,645.405435452437,1.0,0.0,0.0,0.0
200,tanh,5000,7,na,1,True,True,True,7.172058964287364e-05,132,0.5833333333333334,0.0,0.0,0.4166666666666667,0.0428135861391619,0.0359860616455368,0.0373788251274999,0.1703692632846135,0.1222086030205519,0.0092427651483297,0.0458295765627593,0.0231261221532093,0.0490137196042047,0.1333526323949085,0.0455847495540375,0.0367590430905907,0.1386346325722679,0.7790215747831039,0.0501390132468159,0.0457711640106106,0.1766167456697269,0.7274730770728464,0.0532557697848086,0.0518390897516006,0.2172614624696102,0.6776436779939805,0.0583963331879701,0.0399339324200707,0.2478536407758867,0.6538160936160724,0.0484985269869811,0.0315821719248348,0.2118161830204281,0.7081031180677558,0.0444982655658614,0.030410685490662,0.1933674552769808,0.7317235936664956,0.0932532979957522,0.0467451485806066,0.1856881927996842,0.6743133606239569,0.1349137706257798,0.0473907132584504,0.1919520161678373,0.6257434999479324,0.1303983600320836,0.0555529390647687,0.2675623455345094,0.5464863553686382,0.1280057457000351,0.0686149590691277,0.330231903911084,0.4731473913197531,2123.9070384986817,0.8264493706403143,0.1251849303608257,0.0293297038935833,0.0190359951052765
200,tanh,5000,9,na,1,False,False,False,0.0005123738791414,120,1.0,0.0,0.0,0.0,0.0219414900263425,0.0438810572340438,0.0447997288126204,0.0416344866896734,0.0719310450342936,0.1279893309236092,0.1654174250079861,0.1945860224704221,0.2749450053590737,0.4530407237969037,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,267.9018829179267,1.0,0.0,0.0,0.0
200,tanh,5000,9,na,1,True,True,True,0.0003361218571001,145,0.4896551724137931,0.0,0.0068965517241379,0.503448275862069,0.7494055125925457,0.0130347461078499,0.0706201595414517,0.0510797657710501,0.0467390088438162,0.034937752590968,0.2032466576855674,0.0873577433343787,0.1243285901887019,0.2590008075110958,0.0509412129205013,0.0296181019585451,0.1385809507851122,0.7808597343358414,0.0596555792078094,0.04367764853943,0.1858841322830698,0.7107826399696907,0.0522289308909107,0.0452919210025464,0.2227996609934283,0.6796794871131144,0.0691137966194185,0.0398663384575295,0.2294379054223793,0.6615819595006724,0.0611266334722937,0.0291248653939458,0.204549522880455,0.7051989782533054,0.0408847084306603,0.026277649247464,0.1841378168152642,0.7486998255066114,0.084175204268493,0.0407816843348157,0.1941872686558075,0.6808558427408835,0.1300716850489845,0.044986753254705,0.203619983222039,0.6213215784742714,0.1247481658251733,0.0507670947550327,0.2347978821533474,0.5896868572664465,0.113671279544931,0.0599830159631698,0.2937424152432441,0.5326032892486551,165.66394703142527,0.8501605909189235,0.0807185552117717,0.0296742521308576,0.0394466017384471
