net_size,activation,train_size,steps_ahead,noise,leakage,edges,triangles,squares,MDL,k_opt,N_MDL,E_MDL,T_MDL,S_MDL,a-9.0,a-8.0,a-7.0,a-6.0,a-5.0,a-4.0,a-3.0,a-2.0,a-1.0,a0.0,N_a-9.0,E_a-9.0,T_a-9.0,S_a-9.0,N_a-8.0,E_a-8.0,T_a-8.0,S_a-8.0,N_a-7.0,E_a-7.0,T_a-7.0,S_a-7.0,N_a-6.0,E_a-6.0,T_a-6.0,S_a-6.0,N_a-5.0,E_a-5.0,T_a-5.0,S_a-5.0,N_a-4.0,E_a-4.0,T_a-4.0,S_a-4.0,N_a-3.0,E_a-3.0,T_a-3.0,S_a-3.0,N_a-2.0,E_a-2.0,T_a-2.0,S_a-2.0,N_a-1.0,E_a-1.0,T_a-1.0,S_a-1.0,N_a0.0,E_a0.0,T_a0.0,S_a0.0,a0,N_a0,E_a0,T_a0,S_a0
200,tanh,5000,1,na,1,False,False,False,6.622224147900593e-08,31,1.0,0.0,0.0,0.0,2.4835898791349923e-08,9.328404892907809e-08,4.311285227057106e-07,1.3499628493937731e-06,4.856126711552161e-06,2.148819732229092e-05,7.233760288263723e-05,0.0002498030997424,0.0006236145147123,0.001590685641623,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,568.6108421663866,1.0,0.0,0.0,0.0
200,tanh,5000,1,-1,1,False,False,False,4.432920380542804e-05,7,1.0,0.0,0.0,0.0,2.8196907879122103e-05,2.3548053897909528e-05,1.909008873453244e-05,1.6893091889395275e-05,1.827540503348691e-05,3.2042133462178066e-05,8.10749085835695e-05,0.0001833241010065,0.0005180460782947,0.0014991873856844,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.397958682345752,1.0,0.0,0.0,0.0
200,tanh,5000,1,-1,1,True,True,True,4.574864806694752e-05,7,1.0,0.0,0.0,0.0,0.0002178817958488,0.000152186766409,0.0001134624733477,9.39732158366382e-05,8.171858003812153e-05,6.494841414780184e-05,5.103915648413649e-05,5.018321206651271e-05,8.42970269009457e-05,0.0002639050654734,0.0060137123196047,0.0067992929306238,0.0106173448738917,0.9765696498758796,0.0038870268708956,0.0036909320046511,0.0070341464981598,0.9853878946262936,0.00378266615737,0.0049353677200847,0.0085073924189296,0.9827745737036157,0.0059722716331617,0.0019279267271624,0.007102985015519,0.9849968166241568,0.0179929695887693,0.0048620288533993,0.0107813659984891,0.9663636355593422,0.057428190949997,0.0175108917817525,0.0391897869707547,0.8858711302974955,0.1323799280229896,0.0729919352924731,0.1299861104745094,0.6646420262100278,0.1610600438259733,0.1384732102346779,0.1945625460365175,0.5059041999028312,0.1463057753594697,0.1690801604005682,0.1757400654169493,0.5088739988230128,0.1633936060235754,0.185348398692836,0.1793243636405025,0.471933631643086,4041725.7214564905,0.5967849441714731,0.2254382336637602,0.0964123227588726,0.081364499405894
200,tanh,5000,2,-1,1,False,False,False,5.773295144814626e-05,11,1.0,0.0,0.0,0.0,6.529268159009037e-05,5.140793021236458e-05,4.65561958039993e-05,5.161133348200725e-05,9.146817847832e-05,0.0003642808958583,0.0010015852178058,0.0020660465014607,0.0045813836099891,0.0099404453499785,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.27998498183098,1.0,0.0,0.0,0.0
200,tanh,5000,2,-1,1,True,True,True,0.0001930957900308,10,1.0,0.0,0.0,0.0,0.0003607353630785,0.0003128484487248,0.0002319446239956,0.0001550008565582,9.679669747082589e-05,6.299210872373342e-05,7.454456308381297e-05,0.0001402621724522,0.0005098024116915,0.0018902719193724,0.0097998070389112,0.0118681892861381,0.0179623001900895,0.9603697034848612,0.0161516152043569,0.024514687934397,0.0187489141917982,0.9405847826694476,0.0395192095594741,0.0365579319035844,0.0289445585776822,0.8949782999592591,0.1016324222042264,0.0590065881899841,0.0415234808855261,0.7978375087202633,0.1606635765845553,0.0501731716672189,0.0590547752890206,0.7301084764592051,0.2397574499483762,0.0408322543994983,0.1435238486497111,0.5758864470024141,0.2606456912111348,0.0546728398991071,0.1849911477320018,0.4996903211577563,0.1835721235567132,0.089463307470566,0.1914592411240589,0.5355053278486618,0.1127822923595754,0.1177810650588987,0.1551090671158999,0.6143275754656259,0.1240334638140467,0.156647500012622,0.1546178883780283,0.5647011477953029,1301752.9400657744,0.5487259061001157,0.1857293004421892,0.1666685392803784,0.0988762541773164
200,tanh,5000,3,-1,1,False,False,False,4.410767303882637e-05,17,1.0,0.0,0.0,0.0,4.884567801406022e-05,4.078701008013576e-05,4.440512966195771e-05,7.811643360718321e-05,0.0002868414315758,0.0018885649683106,0.00514705103878,0.0094672983984618,0.0184618119982555,0.0333010019205392,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.806498110181856,1.0,0.0,0.0,0.0
200,tanh,5000,3,-1,1,True,True,True,0.0001190944247315,23,1.0,0.0,0.0,0.0,0.0003729130545977,0.0002888743937136,0.0002283783080643,0.0001845672577198,0.0001268401090954,0.0001199835315446,0.0002611460656483,0.0004847796779859,0.0011175123444716,0.0043247980804673,0.0040202990240408,0.00528857099811,0.0068991462085961,0.983791983769253,0.0021790133511949,0.0019171714486961,0.0016877611028498,0.994216054097259,0.0083530700181753,0.001705389630581,0.0081927554655202,0.9817487848857231,0.0553027306737896,0.0136962403257112,0.0656301119636593,0.8653709170368398,0.1453455400225399,0.0313578563743733,0.1297933828103966,0.69350322079269,0.2181102100530629,0.0338797373823273,0.1495455677669016,0.5984644847977081,0.2359598756979992,0.0525009134375513,0.1756920253313238,0.5358471855331255,0.1533639199846832,0.0923506268696607,0.184442402614067,0.5698430505315891,0.0941112256432417,0.1193257462562212,0.1436576621928472,0.6429053659076898,0.1068286059512524,0.1415522395277315,0.1371039084291598,0.614515246091856,1187457.221702271,0.564481078417573,0.2302562576090919,0.1615646433581752,0.0436980206151598
200,tanh,5000,4,-1,1,False,False,False,9.014687288720083e-05,16,1.0,0.0,0.0,0.0,8.74408865950666e-05,9.472477561015692e-05,0.0001265809084688,0.0002703688721635,0.0011695991313466,0.0063834481279561,0.0160824696598923,0.0283602064758022,0.0488001283027093,0.0782084118543582,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.43618117063019,1.0,0.0,0.0,0.0
200,tanh,5000,4,-1,1,True,True,True,0.0002978424249063,23,1.0,0.0,0.0,0.0,0.0007058057962662,0.0005027664956592,0.000289376899076,0.0001929226508659,0.000198618438373,0.0004445685166348,0.0008286725548267,0.0014282781133061,0.0040209829245809,0.0114283774840926,0.0161303172323776,0.0112482349189213,0.0200554548005199,0.952565993048181,0.0089009689887688,0.009124986969776,0.0099654621019022,0.9720085819395528,0.0064131440130175,0.003376233514094,0.006523882275949,0.9836867401969392,0.0405666957885223,0.0093522598631185,0.0435194448859456,0.9065615994624135,0.1181634265068693,0.0224574076290281,0.0991956350211268,0.7601835308429757,0.2212614731888409,0.0333861655153315,0.149117258987826,0.5962351023080014,0.2264780061090323,0.0447243287524548,0.1659103818419273,0.5628872832965854,0.172656483458072,0.0728766883095456,0.1843078113444389,0.5701590168879435,0.0969096742512953,0.1013066058686848,0.1528752043285,0.6489085155515198,0.0945060277680896,0.1307568562634076,0.131670625269659,0.6430664906988437,177277613.07290918,0.8100531349709515,0.0691822340996248,0.0606289079308409,0.0601357229985825
200,tanh,5000,5,-1,1,False,False,False,0.0004012160376044,16,1.0,0.0,0.0,0.0,0.0001908782952319,0.000317786803044,0.0005616636668414,0.0010113010808354,0.0029887174214735,0.0135015754122556,0.0330787512481438,0.0575245984475626,0.091459622076293,0.1355714613985538,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5793705325119465,1.0,0.0,0.0,0.0
