net_type,activation,steps_ahead,Nodes_prop,Nodes_tot,Edges_prop,Edges_tot,Triangles_prop,Triangles_tot,Squares_prop,Squares_tot
embedding,linear,1,0.2222222222222222,10,0.2222222222222222,10,0.5333333333333333,24,0.0222222222222222,1
embedding,linear,2,0.1481481481481481,8,0.1296296296296296,7,0.4629629629629629,25,0.2592592592592592,14
embedding,linear,3,0.3265306122448979,16,0.0,0,0.6530612244897959,32,0.0204081632653061,1
embedding,linear,4,0.2545454545454545,14,0.0,0,0.7454545454545455,41,0.0,0
embedding,linear,5,0.32,24,0.0266666666666666,2,0.6533333333333333,49,0.0,0
embedding,linear,6,0.4444444444444444,40,0.0,0,0.5555555555555556,50,0.0,0
embedding,linear,7,0.3893805309734513,44,0.0,0,0.6106194690265486,69,0.0,0
embedding,linear,8,0.3815789473684211,58,0.0,0,0.6118421052631579,93,0.006578947368421,1
embedding,linear,9,0.4705882352941176,88,0.0,0,0.5294117647058824,99,0.0,0
embedding,linear,10,0.4161073825503356,62,0.0,0,0.5771812080536913,86,0.0067114093959731,1
embedding,linear,11,0.3181818181818182,49,0.0649350649350649,10,0.6168831168831169,95,0.0,0
embedding,linear,12,0.2884615384615384,30,0.1538461538461538,16,0.5384615384615384,56,0.0192307692307692,2
embedding,linear,13,0.3524590163934426,43,0.0983606557377049,12,0.5409836065573771,66,0.0081967213114754,1
embedding,linear,14,0.3032258064516129,47,0.1806451612903225,28,0.5161290322580645,80,0.0,0
embedding,linear,15,0.25,25,0.26,26,0.47,47,0.02,2
embedding,linear,16,0.3292682926829268,27,0.1463414634146341,12,0.4634146341463415,38,0.0609756097560975,5
embedding,linear,17,0.3247863247863248,38,0.1794871794871795,21,0.4786324786324786,56,0.017094017094017,2
embedding,linear,18,0.2857142857142857,26,0.1758241758241758,16,0.4725274725274725,43,0.0659340659340659,6
embedding,linear,19,0.273972602739726,20,0.1643835616438356,12,0.3835616438356164,28,0.1780821917808219,13
embedding,linear,20,0.2857142857142857,12,0.1666666666666666,7,0.4285714285714285,18,0.119047619047619,5
embedding,linear,21,0.2133333333333333,16,0.2,15,0.4133333333333333,31,0.1733333333333333,13
embedding,linear,22,0.3092783505154639,30,0.1237113402061855,12,0.4742268041237113,46,0.0927835051546391,9
embedding,linear,23,0.2210526315789473,21,0.2,19,0.4210526315789473,40,0.1578947368421052,15
embedding,linear,24,0.247191011235955,22,0.1573033707865168,14,0.4719101123595505,42,0.1235955056179775,11
embedding,linear,25,0.2282608695652173,21,0.108695652173913,10,0.4673913043478261,43,0.1956521739130435,18
embedding,tanh,1,0.2363636363636363,13,0.0363636363636363,2,0.6727272727272727,37,0.0545454545454545,3
embedding,tanh,2,0.28,14,0.0,0,0.72,36,0.0,0
embedding,tanh,3,0.4,20,0.04,2,0.56,28,0.0,0
embedding,tanh,4,0.3166666666666666,19,0.0333333333333333,2,0.65,39,0.0,0
embedding,tanh,5,0.3378378378378378,25,0.0,0,0.6621621621621622,49,0.0,0
embedding,tanh,6,0.41,41,0.01,1,0.58,58,0.0,0
embedding,tanh,7,0.4939759036144578,82,0.0,0,0.5060240963855421,84,0.0,0
embedding,tanh,8,0.3291139240506329,52,0.0,0,0.6708860759493671,106,0.0,0
embedding,tanh,9,0.4196891191709844,81,0.0103626943005181,2,0.5699481865284974,110,0.0,0
embedding,tanh,10,0.3653846153846153,76,0.0,0,0.6346153846153846,132,0.0,0
embedding,tanh,11,0.3564814814814814,77,0.0,0,0.6435185185185185,139,0.0,0
embedding,tanh,12,0.3399014778325123,69,0.0,0,0.6600985221674877,134,0.0,0
embedding,tanh,13,0.3991935483870967,99,0.0,0,0.5967741935483871,148,0.0040322580645161,1
embedding,tanh,14,0.4224137931034483,98,0.0301724137931034,7,0.5474137931034483,127,0.0,0
embedding,tanh,15,0.3521739130434783,81,0.0521739130434782,12,0.5956521739130435,137,0.0,0
embedding,tanh,16,0.376,94,0.012,3,0.612,153,0.0,0
embedding,tanh,17,0.3689320388349514,76,0.1116504854368932,23,0.5194174757281553,107,0.0,0
embedding,tanh,18,0.2721518987341772,43,0.1329113924050632,21,0.5379746835443038,85,0.0569620253164556,9
embedding,tanh,19,0.2454545454545454,27,0.209090909090909,23,0.4727272727272727,52,0.0727272727272727,8
embedding,tanh,20,0.2075471698113207,22,0.1981132075471698,21,0.4433962264150943,47,0.1509433962264151,16
embedding,tanh,21,0.2272727272727272,15,0.1666666666666666,11,0.3939393939393939,26,0.2121212121212121,14
embedding,tanh,22,0.2272727272727272,25,0.1909090909090909,21,0.3909090909090909,43,0.1909090909090909,21
